,Age,Passenger Class,Sex,No of Siblings or Spouses on Board,No of Parents or Children on Board,Passenger Fare,Survived
0,29.0,0,0,0,0,211.3375,Yes
1,2.0,0,0,1,2,151.55,No
2,30.0,0,1,1,2,151.55,No
3,25.0,0,0,1,2,151.55,No
4,48.0,0,1,0,0,26.55,Yes
5,63.0,0,0,1,0,77.9583,Yes
6,39.0,0,1,0,0,0.0,No
7,18.0,0,0,1,0,227.525,Yes
8,26.0,0,0,0,0,78.85,Yes
9,80.0,0,1,0,0,30.0,Yes
10,29.8811345124283,0,1,0,0,25.925,No
11,24.0,0,1,0,1,247.5208,No
12,50.0,0,0,0,1,247.5208,Yes
13,32.0,0,0,0,0,76.2917,Yes
14,36.0,0,1,0,0,75.2417,No
15,37.0,0,1,1,1,52.5542,Yes
16,26.0,0,1,0,0,30.0,Yes
17,42.0,0,0,0,0,227.525,Yes
18,29.0,0,0,0,0,221.7792,Yes
19,25.0,0,1,1,0,91.0792,Yes
20,19.0,0,0,1,0,91.0792,Yes
21,35.0,0,0,0,0,135.6333,Yes
22,28.0,0,1,0,0,26.55,Yes
23,45.0,0,1,0,0,35.5,No
24,40.0,0,1,0,0,31.0,Yes
25,30.0,0,0,0,0,164.8667,Yes
26,58.0,0,0,0,0,26.55,Yes
27,42.0,0,1,0,0,26.55,No
28,22.0,0,0,0,1,55.0,Yes
29,29.8811345124283,0,1,0,0,26.55,Yes
30,41.0,0,1,0,0,30.5,No
31,48.0,0,1,0,0,50.4958,No
32,29.8811345124283,0,1,0,0,39.6,No
33,59.0,0,0,2,0,51.4792,Yes
34,60.0,0,0,0,0,76.2917,Yes
35,29.8811345124283,0,1,0,0,31.0,No
36,42.0,0,1,0,0,26.2875,Yes
37,53.0,0,0,0,0,27.4458,Yes
38,36.0,0,1,0,1,512.3292,Yes
39,28.0,0,1,0,0,47.1,No
40,17.0,0,1,0,0,47.1,No
41,11.0,0,1,1,2,120.0,Yes
42,36.0,0,1,1,2,120.0,Yes
43,36.0,0,0,1,2,120.0,Yes
44,49.0,0,1,0,0,26.0,No
45,36.0,0,1,1,0,78.85,No
46,76.0,0,0,1,0,78.85,Yes
47,46.0,0,1,1,0,61.175,No
48,47.0,0,0,1,0,61.175,Yes
49,27.0,0,1,1,0,53.1,Yes
50,36.0,0,0,0,0,262.375,Yes
51,30.0,0,0,0,0,86.5,Yes
52,29.8811345124283,0,0,0,1,55.0,Yes
53,29.8811345124283,0,1,0,0,0.0,No
54,27.0,0,1,1,0,136.7792,No
55,26.0,0,0,1,0,136.7792,Yes
56,22.0,0,0,0,0,151.55,Yes
57,29.8811345124283,0,1,0,0,52.0,No
58,39.0,0,0,1,1,83.1583,Yes
59,37.0,0,1,1,1,83.1583,No
60,64.0,0,0,0,2,83.1583,Yes
61,55.0,0,0,2,0,25.7,Yes
62,29.8811345124283,0,1,0,0,26.55,No
63,70.0,0,1,1,1,71.0,No
64,39.0,0,1,1,0,71.2833,No
65,38.0,0,0,1,0,71.2833,Yes
66,51.0,0,1,0,0,26.55,Yes
67,33.0,0,0,0,0,151.55,Yes
68,31.0,0,1,1,0,52.0,No
69,27.0,0,0,1,2,52.0,Yes
70,31.0,0,1,1,0,57.0,Yes
71,17.0,0,0,1,0,57.0,Yes
72,53.0,0,1,1,1,81.8583,Yes
73,4.0,0,1,0,2,81.8583,Yes
74,48.0,0,0,1,0,106.425,Yes
75,48.0,0,0,1,0,39.6,Yes
76,49.0,0,1,1,0,56.9292,Yes
77,39.0,0,1,0,0,29.7,No
78,23.0,0,0,0,1,83.1583,Yes
79,54.0,0,0,1,0,78.2667,Yes
80,36.0,0,0,0,0,31.6792,No
81,29.8811345124283,0,1,0,0,221.7792,No
82,29.8811345124283,0,0,0,0,110.8833,Yes
83,36.0,0,1,0,0,26.3875,Yes
84,24.0,0,0,3,2,263.0,Yes
85,23.0,0,0,3,2,263.0,Yes
86,19.0,0,1,3,2,263.0,No
87,64.0,0,1,1,4,263.0,No
88,60.0,0,0,1,4,263.0,Yes
89,30.0,0,0,0,0,56.9292,Yes
90,29.8811345124283,0,1,0,0,26.55,No
91,50.0,0,1,2,0,133.65,Yes
92,43.0,0,1,1,0,27.7208,Yes
93,22.0,0,0,0,2,49.5,Yes
94,60.0,0,1,1,1,79.2,Yes
95,48.0,0,0,1,1,79.2,Yes
96,29.8811345124283,0,1,0,0,0.0,No
97,37.0,0,1,1,0,53.1,No
98,47.0,0,1,0,0,38.5,No
99,35.0,0,0,0,0,211.5,Yes
100,22.0,0,0,0,1,59.4,Yes
101,45.0,0,0,0,1,59.4,Yes
102,24.0,0,1,0,0,79.2,No
103,49.0,0,1,1,0,89.1042,Yes
104,29.8811345124283,0,0,1,0,89.1042,Yes
105,71.0,0,1,0,0,34.6542,No
106,53.0,0,1,0,0,28.5,Yes
107,38.0,0,1,0,1,153.4625,No
108,58.0,0,0,0,1,153.4625,Yes
109,45.0,0,0,0,1,63.3583,Yes
110,46.0,0,1,0,0,79.2,No
111,25.0,0,1,1,0,55.4417,Yes
112,25.0,0,0,1,0,55.4417,Yes
113,48.0,0,1,1,0,76.7292,Yes
114,29.8811345124283,0,1,0,0,42.4,No
115,27.0,0,1,0,0,76.7292,Yes
116,29.8811345124283,0,1,0,0,30.0,Yes
117,24.0,0,0,0,0,83.1583,Yes
118,55.0,0,1,1,1,93.5,No
119,52.0,0,0,1,1,93.5,Yes
120,42.0,0,1,0,0,42.5,No
121,29.8811345124283,0,1,0,0,51.8625,No
122,16.0,0,0,0,1,57.9792,Yes
123,51.0,0,0,1,0,77.9583,Yes
124,42.0,0,1,1,0,52.0,No
125,35.0,0,0,1,0,52.0,Yes
126,35.0,0,1,0,0,26.55,Yes
127,38.0,0,1,1,0,90.0,Yes
128,29.8811345124283,0,1,0,0,30.6958,No
129,35.0,0,0,1,0,90.0,Yes
130,38.0,0,0,0,0,80.0,Yes
131,49.0,0,1,0,0,0.0,Yes
132,46.0,0,1,0,0,26.0,No
133,50.0,0,1,0,0,26.0,No
134,58.0,0,1,0,0,29.7,No
135,29.8811345124283,0,0,1,0,51.8625,Yes
136,42.0,0,1,1,0,52.5542,Yes
137,29.8811345124283,0,1,0,0,26.55,No
138,30.0,0,0,0,0,106.425,Yes
139,29.8811345124283,0,1,0,0,27.7208,No
140,42.0,0,1,0,0,26.55,No
141,16.0,0,0,0,1,39.4,Yes
142,51.0,0,0,0,1,39.4,Yes
143,29.0,0,1,0,0,30.0,No
144,15.0,0,0,0,1,211.3375,Yes
145,30.0,0,1,0,0,26.0,No
146,29.8811345124283,0,1,0,0,29.7,Yes
147,19.0,0,1,1,0,53.1,No
148,18.0,0,0,1,0,53.1,Yes
149,24.0,0,0,0,0,49.5042,Yes
150,54.0,0,1,0,0,51.8625,No
151,29.8811345124283,0,0,1,0,82.1708,Yes
152,44.0,0,1,2,0,90.0,No
153,33.0,0,0,1,0,90.0,Yes
154,37.0,0,0,1,0,90.0,Yes
155,30.0,0,1,1,0,57.75,Yes
156,55.0,0,1,0,0,30.5,No
157,47.0,0,1,0,0,42.4,No
158,37.0,0,1,0,1,29.7,No
159,58.0,0,1,0,2,113.275,No
160,19.0,0,0,0,2,26.2833,Yes
161,64.0,0,1,0,0,26.0,No
162,29.8811345124283,0,1,0,0,25.7417,Yes
163,22.0,0,0,0,1,61.9792,Yes
164,65.0,0,1,0,1,61.9792,No
165,29.8811345124283,0,1,0,0,0.0,No
166,45.5,0,1,0,0,28.5,No
167,23.0,0,1,0,0,93.5,No
168,29.0,0,1,1,0,66.6,No
169,22.0,0,0,1,0,66.6,Yes
170,18.0,0,1,1,0,108.9,No
171,17.0,0,0,1,0,108.9,Yes
172,30.0,0,0,0,0,93.5,Yes
173,52.0,0,1,0,0,30.5,Yes
174,47.0,0,1,0,0,52.0,No
175,56.0,0,0,0,1,83.1583,Yes
176,22.0,0,1,0,0,135.6333,No
177,29.8811345124283,0,1,0,0,227.525,No
178,45.0,0,1,0,0,26.55,Yes
179,29.8811345124283,0,1,0,0,50.0,No
180,33.0,0,0,0,0,27.7208,Yes
181,46.0,0,1,0,0,79.2,No
182,36.0,0,1,0,0,40.125,No
183,33.0,0,0,0,0,86.5,Yes
184,55.0,0,1,1,0,59.4,No
185,54.0,0,0,1,0,59.4,Yes
186,33.0,0,1,0,0,26.55,No
187,13.0,0,1,2,2,262.375,Yes
188,18.0,0,0,2,2,262.375,Yes
189,61.0,0,1,1,3,262.375,No
190,48.0,0,0,1,3,262.375,Yes
191,24.0,0,0,0,0,69.3,Yes
192,35.0,0,0,1,0,57.75,Yes
193,30.0,0,0,0,0,31.0,Yes
194,34.0,0,1,0,0,26.55,Yes
195,40.0,0,0,0,0,153.4625,Yes
196,35.0,0,1,0,0,26.2875,Yes
197,50.0,0,1,1,0,55.9,No
198,56.0,0,1,0,0,26.55,No
199,24.0,0,1,1,0,60.0,No
200,29.8811345124283,0,1,0,0,26.0,No
201,23.0,0,0,1,0,82.2667,Yes
202,45.0,0,1,1,1,134.5,Yes
203,40.0,0,0,1,1,134.5,Yes
204,57.0,0,1,1,0,146.5208,No
205,29.8811345124283,0,0,1,0,146.5208,Yes
206,62.0,0,1,0,0,26.55,No
207,54.0,0,1,1,0,55.4417,Yes
208,43.0,0,0,1,0,55.4417,Yes
209,29.8811345124283,0,1,0,0,27.7208,No
210,62.0,0,0,0,0,80.0,Yes
211,67.0,0,1,1,0,221.7792,No
212,63.0,0,0,1,0,221.7792,No
213,18.0,0,0,0,2,79.65,Yes
214,48.0,0,1,1,0,52.0,Yes
215,29.8811345124283,0,0,1,0,52.0,Yes
216,49.0,0,1,1,1,110.8833,No
217,17.0,0,1,0,2,110.8833,Yes
218,39.0,0,0,1,1,110.8833,Yes
219,29.8811345124283,0,0,0,0,79.2,Yes
220,31.0,0,1,0,0,28.5375,Yes
221,40.0,0,1,0,0,27.7208,No
222,61.0,0,1,0,0,33.5,No
223,47.0,0,1,0,0,34.0208,No
224,35.0,0,0,0,0,512.3292,Yes
225,64.0,0,1,1,0,75.25,No
226,60.0,0,0,1,0,75.25,Yes
227,54.0,0,1,0,1,77.2875,No
228,21.0,0,1,0,1,77.2875,No
229,55.0,0,0,0,0,135.6333,Yes
230,57.0,0,1,1,1,164.8667,No
231,45.0,0,0,1,1,164.8667,Yes
232,50.0,0,1,1,1,211.5,No
233,21.0,0,0,0,0,26.55,Yes
234,51.0,0,1,0,1,61.3792,No
235,21.0,0,1,0,1,61.3792,Yes
236,29.8811345124283,0,1,0,0,35.0,No
237,31.0,0,0,0,0,134.5,Yes
238,29.8811345124283,0,1,0,0,35.5,Yes
239,62.0,0,1,0,0,26.55,No
240,36.0,0,0,0,0,135.6333,Yes
241,30.0,1,1,1,0,24.0,No
242,30.0,1,1,0,0,13.0,No
243,18.0,1,1,0,0,11.5,No
244,25.0,1,1,0,0,10.5,No
245,36.0,1,0,1,0,26.0,Yes
246,18.0,1,1,0,0,11.5,No
247,23.0,1,1,0,0,10.5,No
248,36.0,1,0,0,0,13.0,Yes
249,28.0,1,1,0,0,10.5,No
250,51.0,1,1,0,0,12.525,No
251,32.0,1,1,1,0,26.0,Yes
252,1.0,1,1,2,1,39.0,Yes
253,4.0,1,0,2,1,39.0,Yes
254,12.0,1,0,2,1,39.0,Yes
255,36.0,1,0,0,3,39.0,Yes
256,19.0,1,0,0,0,13.0,Yes
257,23.0,1,1,0,0,13.0,No
258,26.0,1,1,0,0,13.0,No
259,42.0,1,1,0,0,13.0,No
260,27.0,1,1,0,0,13.0,No
261,15.0,1,0,0,2,39.0,Yes
262,60.0,1,1,1,1,39.0,No
263,40.0,1,0,1,1,39.0,Yes
264,20.0,1,0,1,0,26.0,Yes
265,25.0,1,1,1,0,26.0,No
266,36.0,1,0,0,0,13.0,Yes
267,25.0,1,1,0,0,13.0,No
268,42.0,1,1,0,0,13.0,No
269,42.0,1,0,0,0,13.0,Yes
270,26.0,1,1,1,1,29.0,Yes
271,22.0,1,0,1,1,29.0,Yes
272,29.8811345124283,1,1,0,0,0.0,No
273,19.0,1,1,0,0,13.0,No
274,52.0,1,1,0,0,13.5,No
275,29.0,1,0,1,0,26.0,No
276,25.0,1,0,1,1,30.0,Yes
277,28.0,1,0,1,0,26.0,Yes
278,29.0,1,1,0,0,10.5,No
279,28.0,1,1,0,0,13.0,No
280,8.0,1,0,0,2,26.25,Yes
281,31.0,1,1,1,1,26.25,No
282,30.0,1,0,0,0,13.0,No
283,29.8811345124283,1,0,0,0,21.0,No
284,21.0,1,1,0,0,11.5,No
285,48.0,1,0,0,2,36.75,Yes
286,28.0,1,0,0,0,13.0,Yes
287,32.0,1,1,0,0,13.0,No
288,18.0,1,0,0,1,23.0,Yes
289,54.0,1,1,0,0,26.0,No
290,42.0,1,1,1,1,32.5,No
291,27.0,1,0,1,0,13.8583,Yes
292,21.0,1,1,0,0,13.0,No
293,18.0,1,1,0,0,13.0,No
294,40.0,1,1,1,0,26.0,No
295,18.0,1,1,0,0,10.5,No
296,36.0,1,1,0,0,13.0,No
297,29.8811345124283,1,1,0,0,0.0,No
298,38.0,1,0,0,0,13.0,No
299,38.0,1,1,1,0,21.0,No
300,34.0,1,1,1,0,21.0,No
301,16.0,1,1,0,0,26.0,No
302,26.0,1,1,0,0,10.5,No
303,47.0,1,1,0,0,10.5,No
304,21.0,1,1,1,0,11.5,No
305,24.0,1,1,0,0,13.0,No
306,34.0,1,1,0,0,13.0,No
307,30.0,1,1,0,0,13.0,No
308,52.0,1,1,0,0,13.0,No
309,30.0,1,1,0,0,13.0,No
310,0.6667,1,1,1,1,14.5,Yes
311,44.0,1,1,0,0,13.0,No
312,62.0,1,1,0,0,10.5,Yes
313,30.0,1,1,0,0,10.5,No
314,7.0,1,0,0,2,26.25,Yes
315,43.0,1,1,1,1,26.25,No
316,45.0,1,0,1,1,26.25,Yes
317,24.0,1,0,1,2,65.0,Yes
318,55.0,1,0,0,0,16.0,Yes
319,24.0,1,1,2,0,73.5,No
320,32.0,1,1,2,0,73.5,No
321,21.0,1,1,2,0,73.5,No
322,18.0,1,0,1,1,13.0,No
323,20.0,1,0,2,1,23.0,Yes
324,23.0,1,1,2,1,11.5,No
325,36.0,1,1,0,0,13.0,No
326,50.0,1,1,0,0,13.0,No
327,44.0,1,1,1,0,26.0,No
328,21.0,1,1,0,0,73.5,No
329,42.0,1,1,0,0,13.0,Yes
330,63.0,1,1,1,0,26.0,No
331,60.0,1,0,1,0,26.0,No
332,33.0,1,1,0,0,12.275,No
333,17.0,1,0,0,0,10.5,Yes
334,24.0,1,0,2,1,27.0,Yes
335,47.0,1,1,0,0,15.0,No
336,24.0,1,1,2,0,31.5,No
337,22.0,1,1,2,0,31.5,No
338,32.0,1,1,0,0,10.5,No
339,23.0,1,0,0,0,13.7917,Yes
340,34.0,1,1,1,0,26.0,No
341,22.0,1,0,0,0,21.0,No
342,29.8811345124283,1,0,0,0,12.35,Yes
343,35.0,1,1,0,0,12.35,No
344,45.0,1,0,0,0,13.5,Yes
345,57.0,1,1,0,0,12.35,No
346,29.8811345124283,1,1,0,0,0.0,No
347,26.0,1,0,1,1,26.0,No
348,30.0,1,1,1,1,26.0,No
349,29.8811345124283,1,1,0,0,10.7083,No
350,1.0,1,0,1,2,41.5792,Yes
351,3.0,1,0,1,2,41.5792,Yes
352,25.0,1,1,1,2,41.5792,No
353,17.0,1,0,0,0,12.0,Yes
354,29.8811345124283,1,0,0,0,33.0,Yes
355,34.0,1,0,0,0,10.5,Yes
356,36.0,1,1,0,0,12.875,No
357,24.0,1,1,0,0,10.5,No
358,61.0,1,1,0,0,12.35,No
359,57.0,1,0,0,0,10.5,No
360,29.8811345124283,1,1,0,0,15.0458,No
361,1.0,1,1,0,2,37.0042,Yes
362,24.0,1,0,1,1,37.0042,Yes
363,40.0,1,1,0,0,16.0,No
364,30.0,1,1,0,0,13.0,No
365,46.0,1,1,0,0,26.0,No
366,13.0,1,0,0,1,19.5,Yes
367,41.0,1,0,0,1,19.5,Yes
368,70.0,1,1,0,0,10.5,No
369,27.0,1,1,0,0,13.0,No
370,54.0,1,1,0,0,14.0,No
371,39.0,1,1,0,0,26.0,No
372,16.0,1,1,0,0,10.5,No
373,62.0,1,1,0,0,9.6875,No
374,26.0,1,1,0,0,13.0,No
375,19.0,1,1,1,1,36.75,No
376,29.0,1,0,0,0,10.5,Yes
377,39.0,1,1,0,0,13.0,No
378,29.8811345124283,1,1,0,0,13.8625,Yes
379,29.0,1,1,0,0,13.8583,Yes
380,28.0,1,1,0,0,10.5,No
381,29.8811345124283,1,1,0,0,0.0,No
382,50.0,1,0,0,1,26.0,Yes
383,29.8811345124283,1,1,0,0,15.05,No
384,41.0,1,1,0,0,13.0,No
385,21.0,1,0,0,1,21.0,Yes
386,19.0,1,0,0,0,26.0,Yes
387,43.0,1,1,0,1,21.0,No
388,30.0,1,1,0,0,12.7375,Yes
389,27.0,1,1,0,0,15.0333,No
390,2.0,1,0,1,1,26.0,Yes
391,8.0,1,0,1,1,26.0,Yes
392,33.0,1,0,0,2,26.0,Yes
393,36.0,1,1,0,0,10.5,No
394,34.0,1,1,1,0,21.0,No
395,30.0,1,0,3,0,21.0,Yes
396,28.0,1,0,0,0,13.0,Yes
397,23.0,1,1,0,0,15.0458,No
398,3.0,1,1,1,1,18.75,Yes
399,24.0,1,0,2,3,18.75,Yes
400,19.0,1,1,0,0,10.5,No
401,21.0,1,0,0,0,10.5,Yes
402,26.0,1,1,0,0,13.0,No
403,25.0,1,1,0,0,13.0,No
404,25.0,1,0,0,1,26.0,Yes
405,18.0,1,0,0,2,13.0,Yes
406,20.0,1,0,0,0,36.75,Yes
407,30.0,1,0,0,0,13.0,Yes
408,40.0,1,0,0,0,13.0,Yes
409,25.0,1,1,0,0,10.5,No
410,18.5,1,1,0,0,13.0,No
411,23.0,1,1,0,0,13.0,No
412,27.0,1,0,1,0,21.0,No
413,40.0,1,1,0,0,13.0,No
414,31.0,1,0,0,0,21.0,Yes
415,40.0,1,0,0,0,15.75,Yes
416,2.0,1,1,1,1,23.0,Yes
417,4.0,1,0,1,1,23.0,Yes
418,29.0,1,0,0,2,23.0,Yes
419,5.0,1,0,1,2,27.75,Yes
420,36.0,1,1,1,2,27.75,No
421,33.0,1,0,1,2,27.75,Yes
422,66.0,1,1,0,0,10.5,No
423,29.8811345124283,1,1,0,0,12.875,No
424,31.0,1,1,0,0,13.0,Yes
425,42.0,2,1,0,0,7.55,No
426,13.0,2,1,0,2,20.25,No
427,16.0,2,1,1,1,20.25,No
428,35.0,2,0,1,1,20.25,Yes
429,16.0,2,0,0,0,7.65,Yes
430,18.0,2,0,0,0,7.2292,Yes
431,26.0,2,1,0,0,8.05,No
432,40.0,2,0,1,0,9.475,No
433,0.8333,2,1,0,1,9.35,Yes
434,18.0,2,0,0,1,9.35,Yes
435,26.0,2,1,0,0,7.8875,No
436,20.0,2,1,0,0,7.925,No
437,24.0,2,1,0,0,7.05,No
438,35.0,2,1,0,0,8.05,No
439,18.0,2,1,0,0,8.3,No
440,19.0,2,0,1,0,7.8542,Yes
441,4.0,2,1,4,2,31.275,No
442,6.0,2,0,4,2,31.275,No
443,2.0,2,0,4,2,31.275,No
444,17.0,2,0,4,2,7.925,Yes
445,38.0,2,0,4,2,7.775,No
446,9.0,2,0,4,2,31.275,No
447,11.0,2,0,4,2,31.275,No
448,27.0,2,1,0,0,7.7958,Yes
449,39.0,2,0,1,5,31.275,No
450,20.0,2,1,0,0,7.8542,No
451,25.0,2,1,1,0,17.8,No
452,35.0,2,1,0,0,7.05,No
453,5.0,2,1,4,2,31.3875,No
454,9.0,2,1,4,2,31.3875,No
455,3.0,2,1,4,2,31.3875,Yes
456,5.0,2,0,4,2,31.3875,Yes
457,40.0,2,1,1,5,31.3875,No
458,45.0,2,0,0,0,7.225,Yes
459,21.0,2,1,0,0,7.225,No
460,23.0,2,1,0,0,7.05,No
461,13.0,2,0,0,0,7.2292,Yes
462,20.0,2,1,0,0,7.225,No
463,32.0,2,1,1,0,15.85,No
464,33.0,2,0,3,0,15.85,Yes
465,0.75,2,0,2,1,19.2583,Yes
466,5.0,2,0,2,1,19.2583,Yes
467,18.0,2,0,0,0,8.05,Yes
468,26.0,2,1,0,0,7.8958,No
469,20.0,2,1,0,0,7.2292,Yes
470,18.0,2,0,0,1,14.4542,No
471,45.0,2,0,0,1,14.4542,No
472,22.0,2,1,0,0,8.05,No
473,19.0,2,1,0,0,8.05,No
474,26.0,2,1,0,0,7.775,No
