,Age,Passenger Class,Sex,No of Siblings or Spouses on Board,No of Parents or Children on Board,Passenger Fare,Survived
475,32.0,2,1,0,0,56.4958,Yes
476,18.0,2,1,0,0,7.75,No
477,26.0,2,1,0,0,7.8958,No
478,6.0,2,1,1,1,15.2458,No
479,9.0,2,0,1,1,15.2458,No
480,40.0,2,1,1,1,15.5,No
481,21.0,2,1,0,0,16.1,No
482,22.0,2,0,0,0,7.725,Yes
483,20.0,2,0,0,0,7.8542,No
484,22.0,2,1,1,0,7.25,No
485,22.0,2,1,0,0,7.7958,No
486,18.5,2,0,0,0,7.2833,No
487,19.0,2,1,0,0,6.75,No
488,18.0,2,0,0,0,7.8792,No
489,21.0,2,0,0,0,8.6625,No
490,30.0,2,0,0,0,8.6625,No
491,38.0,2,1,0,0,8.6625,No
492,17.0,2,1,0,0,8.6625,No
493,21.0,2,0,0,0,7.75,No
494,21.0,2,1,0,0,7.75,No
495,21.0,2,1,0,0,8.05,No
496,29.8811345124283,2,1,1,0,14.4583,No
497,29.8811345124283,2,0,1,0,14.4583,No
498,24.0,2,1,0,0,7.8542,No
499,28.0,2,1,0,0,7.25,No
500,24.0,2,1,0,0,8.05,No
501,21.0,2,1,0,0,7.7333,No
502,29.0,2,1,0,0,8.05,No
503,18.0,2,1,1,0,14.4542,No
504,18.0,2,1,0,0,8.05,Yes
505,24.0,2,1,0,0,7.25,No
506,36.0,2,1,0,0,7.4958,No
507,31.0,2,1,0,0,7.75,No
508,22.0,2,0,0,0,7.75,Yes
509,70.5,2,1,0,0,7.75,No
510,35.0,2,1,0,0,7.8958,No
511,27.0,2,1,0,0,7.8958,No
512,19.0,2,1,0,0,7.8958,No
513,30.0,2,1,0,0,8.05,No
514,9.0,2,1,1,1,15.9,Yes
515,3.0,2,1,1,1,15.9,Yes
516,59.0,2,1,0,0,7.25,No
517,17.0,2,0,0,1,16.1,Yes
518,44.0,2,1,0,1,16.1,No
519,17.0,2,1,0,0,8.6625,No
520,30.0,2,0,0,0,6.95,Yes
521,29.0,2,1,0,0,7.75,Yes
522,34.0,2,1,1,1,14.4,No
523,27.0,2,1,0,0,7.8958,No
524,25.0,2,1,0,0,7.8958,No
525,24.0,2,1,2,0,24.15,No
526,22.0,2,1,0,0,8.05,No
527,17.0,2,1,2,0,8.05,No
528,29.8811345124283,2,1,1,0,16.1,No
529,29.8811345124283,2,0,1,0,16.1,Yes
530,36.5,2,1,1,0,17.4,Yes
531,36.0,2,0,1,0,17.4,Yes
532,30.0,2,1,0,0,9.5,Yes
533,16.0,2,1,0,0,9.5,No
534,1.0,2,1,1,2,20.575,Yes
535,0.1667,2,0,1,2,20.575,Yes
536,33.0,2,0,1,2,20.575,Yes
537,25.0,2,1,0,0,7.8958,No
538,29.8811345124283,2,1,0,0,7.8958,No
539,36.0,2,1,0,0,7.25,No
540,19.0,2,0,0,0,7.8792,Yes
541,43.0,2,1,0,0,7.8958,No
542,29.8811345124283,2,1,0,0,7.2292,No
543,32.0,2,1,0,0,7.75,No
544,19.0,2,1,0,0,8.05,Yes
545,30.0,2,0,0,0,12.475,Yes
546,23.0,2,0,0,0,8.05,Yes
547,33.0,2,1,0,0,7.8958,No
548,65.0,2,1,0,0,7.75,No
549,24.0,2,1,0,0,7.55,Yes
550,23.0,2,1,1,0,13.9,No
551,22.0,2,0,1,0,13.9,Yes
552,18.0,2,1,0,0,7.775,No
553,16.0,2,1,0,0,7.775,No
554,45.0,2,1,0,0,6.975,No
555,29.8811345124283,2,1,0,0,7.225,No
556,17.0,2,1,1,1,7.2292,No
557,15.0,2,1,1,1,7.2292,No
558,5.0,2,0,0,0,12.475,Yes
559,29.8811345124283,2,1,0,0,7.225,No
560,40.5,2,1,0,0,15.1,No
561,40.5,2,1,0,0,7.75,No
562,18.0,2,1,0,0,7.7958,No
563,29.8811345124283,2,0,0,0,7.75,No
564,29.8811345124283,2,1,0,0,7.75,No
565,29.8811345124283,2,1,0,0,56.4958,Yes
566,9.0,2,0,2,2,34.375,No
567,29.8811345124283,2,1,0,0,8.05,No
568,18.0,2,1,2,2,34.375,No
569,48.0,2,0,1,3,34.375,No
570,29.8811345124283,2,1,0,0,7.75,No
571,29.8811345124283,2,1,0,0,7.25,No
572,25.0,2,1,0,0,7.7417,No
573,29.8811345124283,2,1,0,0,14.5,No
574,29.8811345124283,2,1,0,0,7.8958,No
575,16.0,2,0,0,0,7.7333,Yes
576,29.8811345124283,2,0,0,0,7.75,Yes
577,9.0,2,1,0,2,20.525,Yes
578,33.0,2,1,1,1,20.525,No
579,41.0,2,1,0,0,7.85,No
580,38.0,2,1,0,0,7.05,No
581,9.0,2,1,5,2,46.9,No
582,11.0,2,1,5,2,46.9,No
583,10.0,2,0,5,2,46.9,No
584,16.0,2,0,5,2,46.9,No
585,14.0,2,1,5,2,46.9,No
586,40.0,2,1,1,6,46.9,No
587,43.0,2,0,1,6,46.9,No
588,51.0,2,1,0,0,8.05,No
589,32.0,2,1,0,0,8.3625,No
590,29.8811345124283,2,1,0,0,8.05,No
591,37.0,2,1,2,0,7.925,No
592,28.0,2,1,2,0,7.925,No
593,24.0,2,0,0,0,8.85,No
594,17.0,2,0,0,0,7.7333,No
595,29.8811345124283,2,1,1,0,19.9667,No
596,28.0,2,1,1,0,15.85,No
597,23.5,2,1,0,0,7.2292,No
598,41.0,2,1,2,0,14.1083,No
599,26.0,2,1,1,0,7.8542,No
600,21.0,2,1,0,0,7.8542,No
601,45.0,2,0,1,0,14.1083,Yes
602,29.8811345124283,2,0,0,0,7.55,No
603,25.0,2,1,0,0,7.25,No
604,29.8811345124283,2,1,0,0,6.8583,No
605,29.8811345124283,2,0,0,0,7.75,Yes
606,29.8811345124283,2,1,0,0,56.4958,Yes
607,26.0,2,0,0,0,7.925,Yes
608,22.0,2,0,0,0,8.9625,Yes
609,28.0,2,1,0,0,7.8958,No
610,28.0,2,0,0,0,7.775,No
611,29.8811345124283,2,0,0,0,7.75,No
612,2.0,2,0,0,1,12.2875,Yes
613,28.0,2,1,0,0,22.525,No
614,27.0,2,0,0,0,7.925,Yes
615,42.0,2,1,0,0,7.65,No
616,29.8811345124283,2,1,0,0,7.8875,Yes
617,30.0,2,1,0,0,7.2292,No
618,27.0,2,0,1,0,7.925,No
619,29.8811345124283,2,1,0,0,7.8958,No
620,29.0,2,1,0,0,7.8958,Yes
621,21.0,2,1,0,0,7.7958,Yes
622,29.8811345124283,2,1,0,0,7.05,No
623,20.0,2,1,0,0,7.8542,No
624,48.0,2,1,0,0,7.8542,No
625,17.0,2,1,1,0,7.0542,No
626,29.8811345124283,2,0,0,0,7.75,Yes
627,34.0,2,1,0,0,6.4958,No
628,26.0,2,1,0,0,7.775,Yes
629,22.0,2,1,0,0,7.7958,No
630,33.0,2,1,0,0,8.6542,No
631,4.0,2,1,1,1,11.1333,Yes
632,1.0,2,0,1,1,11.1333,Yes
633,49.0,2,1,0,0,0.0,No
634,19.0,2,1,0,0,0.0,No
635,27.0,2,0,0,2,11.1333,Yes
636,29.8811345124283,2,1,1,2,23.45,No
637,29.8811345124283,2,0,1,2,23.45,No
638,29.8811345124283,2,1,1,2,23.45,No
639,32.0,2,1,0,0,7.8542,Yes
640,27.0,2,1,0,0,7.8542,No
641,20.0,2,0,1,0,9.825,No
642,21.0,2,0,1,0,9.825,No
643,32.0,2,1,0,0,7.925,Yes
644,17.0,2,1,0,0,7.125,No
645,21.0,2,1,0,0,8.4333,No
646,21.0,2,1,0,0,7.7958,Yes
647,33.0,2,1,0,0,7.8542,No
648,22.0,2,1,0,0,7.5208,No
649,4.0,2,0,0,1,13.4167,Yes
650,39.0,2,1,0,1,13.4167,Yes
651,29.8811345124283,2,1,0,0,7.2292,No
652,18.5,2,1,0,0,7.2292,No
653,29.8811345124283,2,1,0,0,7.75,No
654,29.8811345124283,2,0,0,0,7.75,Yes
655,29.8811345124283,2,0,0,0,7.75,Yes
656,34.5,2,1,0,0,7.8292,No
657,29.8811345124283,2,1,0,0,7.75,Yes
658,29.8811345124283,2,1,1,0,14.4542,No
659,29.8811345124283,2,0,1,0,14.4542,No
660,29.8811345124283,2,1,1,0,7.75,No
661,29.8811345124283,2,1,1,0,7.75,No
662,29.0,2,1,3,1,22.025,Yes
663,26.0,2,0,1,1,22.025,Yes
664,1.0,2,0,1,1,12.1833,No
665,18.0,2,1,1,1,7.8542,No
666,36.0,2,0,0,2,12.1833,No
667,25.0,2,1,0,0,7.2292,Yes
668,37.0,2,0,0,0,9.5875,No
669,29.8811345124283,2,1,0,0,7.8958,No
670,29.8811345124283,2,1,0,0,56.4958,Yes
671,22.0,2,0,0,0,7.25,Yes
672,29.8811345124283,2,1,0,0,7.75,No
673,29.0,2,1,0,0,9.4833,No
674,29.0,2,1,0,0,7.775,No
675,29.8811345124283,2,1,3,1,25.4667,No
676,29.8811345124283,2,0,3,1,25.4667,No
677,29.8811345124283,2,0,3,1,25.4667,No
678,29.8811345124283,2,0,0,4,25.4667,No
679,32.0,2,1,0,0,7.925,No
680,34.5,2,1,0,0,6.4375,No
681,29.8811345124283,2,1,1,0,15.5,No
682,39.0,2,1,0,0,24.15,No
683,25.0,2,0,0,0,7.775,No
684,36.0,2,1,1,0,15.55,No
685,30.0,2,0,1,0,15.55,No
686,20.0,2,1,1,0,7.925,Yes
687,29.8811345124283,2,1,0,0,7.8792,No
688,28.0,2,1,0,0,56.4958,No
689,30.0,2,1,1,0,16.1,No
690,26.0,2,0,1,0,16.1,No
691,29.8811345124283,2,1,0,0,7.8792,No
692,20.5,2,1,0,0,7.25,No
693,51.0,2,1,0,0,7.0542,No
694,23.0,2,0,0,0,7.8542,Yes
695,32.0,2,1,0,0,7.5792,Yes
696,29.8811345124283,2,1,0,0,7.55,No
697,29.8811345124283,2,0,0,0,7.75,Yes
698,24.0,2,1,0,0,7.1417,Yes
699,22.0,2,1,0,0,7.125,No
700,29.8811345124283,2,0,0,0,7.8792,No
701,29.8811345124283,2,1,0,0,7.75,No
702,29.8811345124283,2,1,0,0,8.05,No
703,29.0,2,1,0,0,7.925,No
704,30.5,2,0,0,0,7.75,No
705,29.8811345124283,2,1,0,0,7.2292,No
706,33.0,2,1,0,0,7.8958,No
707,29.8811345124283,2,1,0,0,7.8958,No
708,29.8811345124283,2,0,0,0,7.75,Yes
709,29.8811345124283,2,1,0,0,7.75,Yes
710,29.8811345124283,2,0,2,0,23.25,Yes
711,29.8811345124283,2,0,2,0,23.25,Yes
712,29.8811345124283,2,1,2,0,23.25,Yes
713,29.8811345124283,2,0,0,0,7.7875,Yes
714,29.8811345124283,2,0,0,0,7.8792,Yes
715,15.0,2,0,0,0,8.0292,Yes
716,35.0,2,0,0,0,7.75,No
717,29.8811345124283,2,1,0,0,7.75,No
718,24.0,2,1,1,0,16.1,No
719,29.8811345124283,2,0,0,0,8.05,No
720,29.8811345124283,2,0,0,0,8.05,No
721,29.8811345124283,2,1,0,0,7.75,No
722,21.0,2,1,0,0,7.775,Yes
723,24.0,2,1,0,0,7.8958,No
724,21.0,2,1,0,0,7.8958,No
725,29.8811345124283,2,0,0,0,7.8792,Yes
726,6.0,2,1,0,1,12.475,Yes
727,27.0,2,0,0,1,12.475,Yes
728,29.8811345124283,2,1,0,0,8.05,No
729,29.8811345124283,2,0,1,0,24.15,Yes
730,29.8811345124283,2,1,1,0,24.15,No
731,29.8811345124283,2,1,0,0,8.4583,No
732,34.0,2,1,0,0,8.05,No
733,29.8811345124283,2,1,0,0,7.75,No
734,29.8811345124283,2,1,0,0,7.775,Yes
735,29.8811345124283,2,1,1,1,15.2458,Yes
736,29.8811345124283,2,0,0,0,7.7333,Yes
737,24.0,2,0,0,0,7.75,Yes
738,29.8811345124283,2,0,1,0,15.5,Yes
739,29.8811345124283,2,0,1,0,15.5,Yes
740,29.8811345124283,2,0,0,0,15.5,Yes
741,18.0,2,1,0,0,7.75,No
742,15.0,2,0,0,0,7.225,Yes
743,29.8811345124283,2,1,0,0,7.8958,No
744,29.8811345124283,2,1,0,0,7.2292,No
745,29.8811345124283,2,0,0,0,7.75,No
746,29.8811345124283,2,1,0,0,7.8958,No
747,12.0,2,1,1,0,11.2417,Yes
748,14.0,2,0,1,0,11.2417,Yes
749,18.0,2,0,0,0,7.775,Yes
750,26.0,2,0,0,0,7.8542,Yes
751,21.0,2,1,0,0,7.8542,No
752,41.0,2,1,0,0,7.125,No
753,39.0,2,1,0,0,7.925,Yes
754,21.0,2,1,0,0,7.8,No
755,28.5,2,1,0,0,7.2292,No
756,22.0,2,0,0,0,7.75,Yes
757,61.0,2,1,0,0,6.2375,No
758,29.8811345124283,2,0,1,0,15.5,Yes
759,29.8811345124283,2,1,0,0,7.7333,No
760,29.8811345124283,2,1,0,0,7.75,No
761,23.0,2,1,0,0,9.225,No
762,29.8811345124283,2,0,0,0,7.75,Yes
763,22.0,2,0,0,0,7.775,Yes
764,29.8811345124283,2,0,0,0,7.8292,Yes
765,9.0,2,1,0,1,3.1708,Yes
766,28.0,2,1,0,0,22.525,No
767,42.0,2,1,0,1,8.4042,No
768,31.0,2,0,0,0,7.8542,No
769,28.0,2,1,0,0,7.8542,No
770,20.0,2,1,0,0,9.225,No
771,23.0,2,0,0,0,8.6625,No
772,20.0,2,1,0,0,8.6625,No
773,16.0,2,1,0,0,9.2167,No
774,31.0,2,0,0,0,8.6833,Yes
775,29.8811345124283,2,0,0,0,7.6292,No
776,6.0,2,1,3,1,21.075,No
777,3.0,2,0,3,1,21.075,No
778,8.0,2,0,3,1,21.075,No
779,29.0,2,0,0,4,21.075,No
780,1.0,2,1,4,1,39.6875,No
781,2.0,2,1,4,1,39.6875,No
782,16.0,2,1,4,1,39.6875,No
783,14.0,2,1,4,1,39.6875,No
784,41.0,2,0,0,5,39.6875,No
785,21.0,2,1,0,0,8.6625,No
786,32.0,2,1,0,0,7.8958,No
787,0.75,2,1,1,1,13.775,No
788,26.0,2,0,0,2,13.775,No
789,29.8811345124283,2,1,0,0,7.0,No
790,29.8811345124283,2,1,0,0,8.05,No
791,21.0,2,1,0,0,7.925,No
792,22.0,2,1,0,0,7.25,No
793,25.0,2,1,1,0,7.775,Yes
794,29.8811345124283,2,1,1,1,22.3583,Yes
795,29.8811345124283,2,0,0,2,22.3583,Yes
796,29.8811345124283,2,0,0,0,8.1375,No
797,24.0,2,1,0,0,8.05,No
798,28.0,2,0,0,0,7.8958,No
799,19.0,2,1,0,0,7.8958,No
800,29.8811345124283,2,1,0,0,7.8958,No
801,25.0,2,1,1,0,7.775,No
802,32.0,2,1,0,0,8.05,Yes
803,29.8811345124283,2,1,0,0,7.8958,No
804,17.0,2,1,0,0,8.6625,No
805,24.0,2,1,0,0,8.6625,No
806,29.8811345124283,2,1,0,0,7.8958,No
807,29.8811345124283,2,1,0,0,7.2292,No
808,29.8811345124283,2,1,0,0,7.25,No
809,38.0,2,1,0,0,7.8958,No
810,21.0,2,1,0,0,8.05,No
811,4.0,2,1,4,1,29.125,No
812,7.0,2,1,4,1,29.125,No
813,2.0,2,1,4,1,29.125,No
814,8.0,2,1,4,1,29.125,No
815,39.0,2,0,0,5,29.125,No
816,35.0,2,1,0,0,7.125,No
817,50.0,2,1,1,0,14.5,No
818,29.8811345124283,2,1,0,0,8.05,No
819,2.0,2,0,1,1,20.2125,No
820,18.0,2,1,1,1,20.2125,No
821,29.8811345124283,2,1,0,0,7.75,Yes
822,29.8811345124283,2,1,0,0,7.2292,No
823,25.0,2,1,0,0,7.225,No
824,29.8811345124283,2,1,0,0,7.225,No
825,29.8811345124283,2,1,0,0,7.7292,No
826,29.8811345124283,2,1,0,0,7.575,No
827,29.8811345124283,2,1,8,2,69.55,No
828,14.5,2,1,8,2,69.55,No
829,29.8811345124283,2,1,8,2,69.55,No
830,29.8811345124283,2,1,8,2,69.55,No
831,29.8811345124283,2,1,1,9,69.55,No
832,24.0,2,1,0,0,9.325,No
833,21.0,2,0,0,0,7.65,Yes
834,29.8811345124283,2,1,2,0,21.6792,No
835,29.8811345124283,2,1,2,0,21.6792,No
836,29.8811345124283,2,1,2,0,21.6792,No
837,1.0,2,0,1,1,16.7,Yes
838,24.0,2,0,0,2,16.7,Yes
839,4.0,2,0,1,1,16.7,Yes
840,25.0,2,1,0,0,9.5,Yes
841,20.0,2,1,0,0,8.05,No
842,24.5,2,1,0,0,8.05,No
843,29.8811345124283,2,1,0,0,15.1,No
844,29.8811345124283,2,1,0,0,8.05,No
845,22.0,2,1,0,0,7.2292,No
846,29.8811345124283,2,1,0,0,8.05,No
847,18.0,2,0,0,0,7.4958,Yes
848,9.0,2,0,3,2,27.9,No
849,2.0,2,0,3,2,27.9,No
850,40.0,2,1,1,4,27.9,No
851,45.0,2,0,1,4,27.9,No
852,29.8811345124283,2,1,0,0,8.05,No
853,29.8811345124283,2,0,0,0,7.7333,Yes
854,19.0,2,1,0,0,7.65,No
855,29.8811345124283,2,1,0,0,8.05,No
856,29.8811345124283,2,1,0,0,7.8958,No
857,23.0,2,0,0,0,7.55,Yes
858,21.0,2,1,0,0,8.05,No
859,19.0,2,1,0,0,7.8958,No
860,22.0,2,0,0,0,9.8375,No
861,31.0,2,1,0,0,7.925,Yes
862,27.0,2,1,0,0,8.6625,No
863,2.0,2,0,0,1,10.4625,No
864,29.0,2,0,1,1,10.4625,No
865,16.0,2,1,0,0,8.05,Yes
866,25.0,2,1,0,0,7.05,No
867,74.0,2,1,0,0,7.775,No
868,24.0,2,1,0,0,7.7958,No
869,34.0,2,1,0,0,8.05,No
870,29.8811345124283,2,1,1,0,6.4375,No
871,29.8811345124283,2,1,0,0,7.225,No
872,16.0,2,0,1,1,8.5167,Yes
873,29.8811345124283,2,1,1,0,16.1,No
874,32.0,2,1,0,0,7.925,No
875,29.8811345124283,2,1,0,0,7.8958,No
876,29.8811345124283,2,1,0,0,7.2292,No
877,9.0,2,0,1,1,15.2458,Yes
878,36.0,2,1,0,0,7.8958,No
879,18.0,2,0,0,0,9.8417,Yes
880,63.0,2,0,0,0,9.5875,Yes
881,40.5,2,1,0,2,14.5,No
882,36.0,2,1,1,1,24.15,No
883,33.0,2,1,0,0,9.5,No
884,28.0,2,1,0,0,9.5,No
885,28.0,2,1,0,0,9.5,No
886,18.0,2,0,2,0,18.0,No
887,31.0,2,1,3,0,18.0,No
888,16.0,2,1,2,0,18.0,No
889,22.0,2,1,0,0,7.225,Yes
890,20.0,2,1,0,0,7.8542,No
891,14.0,2,0,0,0,7.8542,No
892,22.0,2,1,0,0,7.8958,No
893,22.0,2,1,0,0,9.0,No
894,29.8811345124283,2,1,0,0,8.05,No
895,29.8811345124283,2,1,0,0,8.05,No
896,32.5,2,1,0,0,9.5,No
897,38.0,2,0,0,0,7.2292,Yes
898,51.0,2,1,0,0,7.75,No
899,21.0,2,1,1,0,6.4958,No
900,47.0,2,0,1,0,7.0,Yes
901,29.8811345124283,2,1,0,0,8.7125,No
902,29.8811345124283,2,1,0,0,7.55,No
903,29.8811345124283,2,1,0,0,8.05,No
904,21.0,2,1,0,0,7.25,No
905,27.0,2,1,0,0,8.6625,No
906,29.8811345124283,2,1,0,0,7.25,No
907,36.0,2,1,0,0,9.5,No
908,27.0,2,1,1,0,14.4542,No
909,15.0,2,0,1,0,14.4542,Yes
910,45.5,2,1,0,0,7.225,No
911,29.8811345124283,2,1,0,0,7.225,No
912,29.8811345124283,2,1,0,0,14.4583,No
913,14.5,2,0,1,0,14.4542,No
914,26.5,2,1,0,0,7.225,No
915,27.0,2,1,0,0,7.225,No
